Country, Population
Afghanistan, 32890171
Albania, 2845955
Algeria, 44700000
Andorra, 78015
Angola, 32097671
Antigua and Barbuda, 97895
Argentina, 45808747
Armenia, 2967900
Australia, 25753351
Austria, 8933346
Azerbaijan, 10123400
Bahamas, 393450
Bahrain, 1483756
Bangladesh, 170217248
Barbados, 288000
Belarus, 9408350
Belgium, 11556142
Belize, 419199
Benin, 12506347
Bhutan, 756129
Bolivia, 11797257
Bosnia and Herzegovina, 3332593
Botswana, 2410338
Brazil, 212784177
Brunei, 459500
Bulgaria, 6951482
Burkina Faso, 21510181
Burundi, 12574571
Cape Verde, 563198
Cambodia, 15552211
Cameroon, 24348251
Canada, 38362755
Central African Republic, 5633412
Chad, 16818391
Chile, 19678363
China, 1406792720
Colombia, 51049498
Comoros, 758316
Congo, 5657000
DR Congo, 106731000
Costa Rica, 5163038
Ivory Coast, 27087732
Croatia, 4058165
Cuba, 11193470
Cyprus, 888005
Czech Republic, 10707839
Denmark, 5840045
Djibouti, 976107
Dominica, 72000
Dominican Republic, 10535535
Ecuador, 17678452
Egypt, 101604477
El Salvador, 6825935
Equatorial Guinea, 1454789
Eritrea, 3601000
Estonia, 1329460
Eswatini, 1093238
Ethiopia, 109224414
Fiji, 889327
Finland, 5506902
France, 67407000
Gabon, 2233272
Gambia, 2335504
Georgia, 3716858
Germany, 83190556
Ghana, 30955202
Greece, 10718565
Grenada, 113000
Guatemala, 17109746
Guinea, 12907395
Guinea-Bissau, 1646077
Guyana, 743699
Haiti, 11743017
Honduras, 9450711
Hungary, 9731000
Iceland, 368590
India, 1373741960
Indonesia, 270203917
Iran, 84225913
Iraq, 41190700
Ireland, 4977400
Israel, 9315520
Italy, 59304696
Jamaica, 2734093
Japan, 125620000
Jordan, 10886868
Kazakhstan, 18876520
Kenya, 47564296
South Korea, 51825932
Kosovo, 1782115
Kuwait, 4464521
Kyrgyzstan, 6626800
Laos, 7337783
Latvia, 1893700
Lebanon, 6769000
Lesotho, 2007201
Liberia, 4661010
Libya, 6959000
Liechtenstein, 38896
Lithuania, 2792155
Luxembourg, 626108
Madagascar, 26923353
Malawi, 18898441
Malaysia, 32745360
Maldives, 383135
Mali, 20856000
Malta, 514564
Marshall Islands, 55500
Mauritania, 4271197
Mauritius, 1266000
Mexico, 126014024
Moldova, 2640438
Monaco, 38100
Mongolia, 3364350
Montenegro, 621873
Morocco, 36172993
Mozambique, 30832244
Namibia, 2550226
Nepal, 30378055
Netherlands, 17565831
New Zealand, 5118816
Nicaragua, 6527691
Niger, 24112753
Nigeria, 211401000
North Macedonia, 2076255
Norway, 5391369
Oman, 4471148
Pakistan, 225200000
Panama, 4278500
Papua New Guinea, 8935000
Paraguay, 7353038
Peru, 33035304
Philippines, 109874451
Poland, 38268000
Portugal, 10295909
Qatar, 2717360
Romania, 19317984
Russia, 146238185
Rwanda, 12955768
Saint Kitts and Nevis, 54000
Saint Lucia, 178696
Saint Vincent and the Grenadines, 110696
Samoa, 204138
San Marino, 33627
Saudi Arabia, 34218169
Senegal, 17223497
Serbia, 6926705
Seychelles, 98462
Sierra Leone, 8297882
Singapore, 5685807
Slovakia, 5464060
Slovenia, 2111461
Solomon Islands, 721455
Somalia, 16360000
South Africa, 59622350
South Sudan, 13249924
Spain, 47351567
Sri Lanka, 21919000
Sudan, 43257420
Suriname, 590100
Sweden, 10379295
Switzerland, 8655100
Syria, 18276000
Taiwan, 23548633
Tajikistan, 9313800
Tanzania, 59441988
Thailand, 66615705
East Timor, 1317780
Togo, 7886000
Trinidad and Tobago, 1366725
Tunisia, 11708370
Turkey, 83614362
United States, 331221802
Uganda, 42885900
Ukraine, 41588354
United Arab Emirates, 9366829
United Kingdom, 67496807
Uruguay, 3554915
Uzbekistan, 34713524
Vanuatu, 304500
Venezuela, 28705000
Vietnam, 97580000
Palestine, 5227193
Yemen, 30491000
Zambia, 18400556
Zimbabwe, 15790716
